Hornindal Kveik #5                           ,GigaYeast               ,GY135                                   ,Ales              ,Medium   ,0.77 ,50  ,100
Kölsch Bier Yeast                            ,GigaYeast               ,GY021                                   ,Ale               ,Med/High ,0.81 ,60  ,72
NorCal Ale #1                                ,GigaYeast               ,GY001                                   ,Ale               ,Medium   ,0.78 ,64  ,77
NorCal Ale #5                                ,GigaYeast               ,GY029                                   ,Ale               ,Med/High ,0.71 ,67  ,75
Portland Hefe Yeast                          ,GigaYeast               ,GY020                                   ,Ale               ,Low      ,0.78 ,64  ,74
Saison Blend                                 ,GigaYeast               ,GY047                                   ,Ale               ,Low      ,0.815,64  ,80
Saison Sour                                  ,GigaYeast               ,GB124                                   ,Ale               ,Low      ,0.78 ,68  ,80
Saison Yeast #1                              ,GigaYeast               ,GY018                                   ,Ale               ,Low      ,0.82 ,64  ,80
Saison Yeast #2                              ,GigaYeast               ,GY027                                   ,Ale               ,Low      ,0.81 ,64  ,80
Scotch Ale #1                                ,GigaYeast               ,GY044                                   ,Ale               ,Low/Med  ,0.81 ,64  ,75
Scourmont Abbey Ale Yeast                    ,GigaYeast               ,GY014                                   ,Ale               ,Low      ,0.8  ,64  ,80
Sour Cherry Funk                             ,GigaYeast               ,GB150                                   ,Wilds & Sours     ,Low      ,0.65 ,68  ,80
Sour Plum Belgian                            ,GigaYeast               ,GB123                                   ,Ale               ,Low      ,0.77 ,68  ,80
Sweet Flemish Brett                          ,GigaYeast               ,GB144                                   ,Ale               ,Low      ,0.83 ,68  ,75
Trappist Tripel Yeast                        ,GigaYeast               ,GY015                                   ,Ale               ,Low      ,0.75 ,66  ,74
Vermont IPA Yeast                            ,GigaYeast               ,GY054                                   ,Ale               ,Low/Med  ,0.8  ,62  ,75
A40 Bubbles                                  ,Imperial                ,A40 Bubbles                             ,Cider             ,Medium   ,0.9  ,0   ,0
A01 House                                    ,Imperial Yeast          ,A01 House                               ,Ale               ,High     ,0.73 ,62  ,70
A04 Barbarian                                ,Imperial Yeast          ,A04 Barbarian                           ,Ale               ,Medium   ,0.73 ,62  ,70
A05 Four Square                              ,Imperial Yeast          ,A05 Four Square                         ,ale               ,High     ,0.68 ,64  ,72
A05 Voyager                                  ,Imperial Yeast          ,A05 Voyager                             ,Ales              ,High     ,0.68 ,64  ,74
A07 Flagship                                 ,Imperial Yeast          ,A07 Flagship                            ,Ale               ,Low/Med  ,0.73 ,60  ,72
A09 Pub                                      ,Imperial Yeast          ,A09 Pub                                 ,Ale               ,Very High,0.69 ,64  ,70
A10 Darkness                                 ,Imperial Yeast          ,A10 Darkness                            ,Ale               ,Medium   ,0.71 ,62  ,72
A13 Sovereign                                ,Imperial Yeast          ,A13 Sovereign                           ,Ale               ,Low/Med  ,0.73 ,60  ,70
A15 Independence                             ,Imperial Yeast          ,A15 Independence                        ,Ale               ,Medium   ,0.72 ,62  ,72
A18 Joystick                                 ,Imperial Yeast          ,A18 Joystick                            ,Ale               ,Med/High ,0.73 ,60  ,70
A20 Citrus                                   ,Imperial Yeast          ,A20 Citrus                              ,Ale               ,Low      ,0.74 ,67  ,80
A24 Dry Hop                                  ,Imperial Yeast          ,A24 Dry Hop                             ,Ale               ,Medium   ,0.76 ,64  ,74
A31 Tartan                                   ,Imperial Yeast          ,A31 Tartan                              ,Ale               ,Medium   ,0.725,65  ,70
A38 Juice                                    ,Imperial Yeast          ,A38 Juice                               ,Ale               ,Medium   ,0.74 ,64  ,74
A43 Loki                                     ,Imperial Yeast          ,A43 Loki                                ,Ale               ,Med/High ,0.8  ,60  ,100
A44 Kveiking                                 ,Imperial Yeast          ,A44                                     ,Norwegian Ales    ,Low      ,0.8  ,75  ,97
A62 Bell                                     ,Imperial Yeast          ,A62                                     ,Ales              ,Medium   ,0.79 ,65  ,72
B44 Whiteout                                 ,Imperial Yeast          ,B44 Whiteout                            ,Belgian Ale       ,Low/Med  ,0.72 ,62  ,72
B45 Gnome                                    ,Imperial Yeast          ,B45 Gnome                               ,Belgian Ale       ,Med/High ,0.72 ,65  ,75
B48 Triple Double                            ,Imperial Yeast          ,B48 Triple Double                       ,Belgian Ale       ,Medium   ,0.74 ,65  ,77
B51 Workhorse                                ,Imperial Yeast          ,B51 Workhorse                           ,Belgian Ale       ,Medium   ,0.72 ,65  ,75
B53 Fish Finder                              ,Imperial Yeast          ,B53 Fish Finder                         ,Belgian Ale       ,Medium   ,0.74 ,65  ,73
B56 Rustic                                   ,Imperial Yeast          ,B56 Rustic                              ,Belgian Ale       ,Medium   ,0.72 ,68  ,90
B63 Monastic                                 ,Imperial Yeast          ,B63 Monastic                            ,Belgian Ale       ,Low/Med  ,0.74 ,68  ,78
B64 Napoleon                                 ,Imperial Yeast          ,B64 Napoleon                            ,Belgian Ale       ,Low      ,0.77 ,65  ,78
F08 Sour Batch Kidz                          ,Imperial Yeast          ,F08 Sour Batch Kidz                     ,Ale               ,Low      ,0.8  ,68  ,76
G01 Stefon                                   ,Imperial Yeast          ,G01 Stefon                              ,German Ale        ,Low      ,0.73 ,63  ,73
G02 Kaiser                                   ,Imperial Yeast          ,G02 Kaiser                              ,German Ale        ,Low      ,0.73 ,55  ,65
G03 Dieter                                   ,Imperial Yeast          ,G03 Dieter                              ,German Ale        ,Medium   ,0.75 ,60  ,69
L02 Fest                                     ,Imperial Yeast          ,L02 Fest                                ,Lagers            ,Med/High ,0.71 ,46  ,56
L05 Cablecar                                 ,Imperial Yeast          ,L05 Cablecar                            ,Lagers            ,Med/High ,0.71 ,55  ,65
L09 Que Bueno                                ,Imperial Yeast          ,L09 Que Bueno                           ,Lagers            ,Medium   ,0.73 ,47  ,55
L11 Gateway                                  ,Imperial Yeast          ,L11 Gateway                             ,Lagers            ,Medium   ,0.72 ,47  ,55
L13 Global                                   ,Imperial Yeast          ,L13 Global                              ,Lagers            ,Low/Med  ,0.73 ,46  ,56
L17 Harvest                                  ,Imperial Yeast          ,L17 Harvest                             ,Lagers            ,Medium   ,0.7  ,50  ,60
L28 Urkel                                    ,Imperial Yeast          ,L28 Urkel                               ,Lagers            ,Medium   ,0.73 ,52  ,58
W15 Suburban Brett                           ,Imperial Yeast          ,W15 Suburban Brett                      ,Ale               ,Low      ,0.775,64  ,74
American Ale Yeast INIS                      ,Inland Island Yeast     ,INIS-007                                ,Ale               ,Medium   ,0.71 ,68  ,74
Belgian Gnome Ale INIS                       ,Inland Island Yeast     ,INIS-222                                ,Ale               ,High     ,0.74 ,65  ,76
Brett Barrel Yeast III INIS                  ,Inland Island Yeast     ,INIS-913                                ,Ale               ,Medium   ,0.9  ,60  ,75
Colorado IPA Yeast INIS                      ,Inland Island Yeast     ,INIS-003                                ,Ale               ,Medium   ,0.76 ,62  ,75
Eccentric Ale Yeast INIS                     ,Inland Island Yeast     ,INIS-006                                ,Ale               ,Medium   ,0.72 ,68  ,72
